"make","model","year"
"Acura","CDX","2016"
"Acura","CL","1998"
"Acura","EL","1997"
"Acura","ILX","2012"
"Acura","Integra","1995"
"Acura","MDX","2001"
"Acura","NSX","2001"
"Acura","RDX","2006"
"Acura","RL","1995"
"Acura","RLX","2013"
"Acura","RSX","2002"
"Acura","TL","1999"
"Acura","TLX","2014"
"Acura","TLX","L"
"Acura","TSX","2003"
"Acura","ZDX","2010"
"Alfa Romeo","146","1994"
"Alfa Romeo","147","1998"
"Alfa Romeo","147","GTA"
"Alfa Romeo","156","1997"
"Alfa Romeo","156","GTA"
"Alfa Romeo","159","2005"
"Alfa Romeo","166","1998"
"Alfa Romeo","4C","2013"
"Alfa Romeo","8C","Competizione"
"Alfa Romeo","Brera","2005"
"Alfa Romeo","Giulia","2016"
"Alfa Romeo","Giulietta","2010"
"Alfa Romeo","GT","2003"
"Alfa Romeo","GTV","1995"
"Alfa Romeo","MiTo","2008"
"Alfa Romeo","Spider","1998"
"Alfa Romeo","Stelvio","2017"
"Alfa Romeo","Tonale","2022"
"Aston Martin","Cygnet","2011"
"Aston Martin","DB11","2016"
"Aston Martin","DB9","2004"
"Aston Martin","DBS","2003"
"Aston Martin","DBS Superleggera","2018"
"Aston Martin","DBS Violante","2007"
"Aston Martin","DBX","2020"
"Aston Martin","Rapide","2010"
"Aston Martin","V12 Vanquish","2001"
"Aston Martin","V12 Vantage","2010"
"Aston Martin","V8 Vantage","2005"
"Aston Martin","Valkyrie","2019"
"Aston Martin","Vanquish","2011"
"Aston Martin","Vantage","2018"
"Aston Martin","Virage","2011"
"Aston Martin","Zagato Coupe","2016"
